 , ,wave,FSRU,,FLNG,,ship0,,,ship1,,,ship2,,,ship3,,,ship4,,
day,time,enableLoad,amount,loading,amount,loading,positon,amount,loadingTime,positon,amount,loadingTime,positon,amount,loadingTime,positon,amount,loadingTime,positon,amount,loadingTime
1,8,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,
1,9,1,0.0,0,2000.0,0,30.0,0.0,0,30.0,0.0,0,30.0,0.0,0,30.0,0.0,0,30.0,0.0,0,
1,10,1,0.0,0,4000.0,0,60.0,0.0,0,60.0,0.0,0,60.0,0.0,0,60.0,0.0,0,60.0,0.0,0,
1,11,1,0.0,0,6000.0,0,90.0,0.0,0,90.0,0.0,0,90.0,0.0,0,90.0,0.0,0,90.0,0.0,0,
1,12,1,0.0,0,8000.0,0,120.0,0.0,0,120.0,0.0,0,120.0,0.0,0,120.0,0.0,0,120.0,0.0,0,
1,13,1,0.0,0,10000.0,0,150.0,0.0,0,150.0,0.0,0,150.0,0.0,0,150.0,0.0,0,150.0,0.0,0,
1,14,1,0.0,0,12000.0,0,180.0,0.0,0,180.0,0.0,0,180.0,0.0,0,180.0,0.0,0,180.0,0.0,0,
1,15,1,0.0,0,14000.0,0,210.0,0.0,0,210.0,0.0,0,210.0,0.0,0,210.0,0.0,0,210.0,0.0,0,
1,16,1,0.0,0,16000.0,0,240.0,0.0,0,240.0,0.0,0,240.0,0.0,0,240.0,0.0,0,240.0,0.0,0,
1,17,1,0.0,0,18000.0,0,270.0,0.0,0,270.0,0.0,0,270.0,0.0,0,270.0,0.0,0,270.0,0.0,0,
1,18,1,0.0,0,20000.0,0,300.0,0.0,0,300.0,0.0,0,300.0,0.0,0,300.0,0.0,0,300.0,0.0,0,
1,19,1,0.0,0,22000.0,0,330.0,0.0,0,330.0,0.0,0,330.0,0.0,0,330.0,0.0,0,330.0,0.0,0,
1,20,1,0.0,0,24000.0,0,360.0,0.0,0,360.0,0.0,0,360.0,0.0,0,360.0,0.0,0,360.0,0.0,0,
1,21,1,0.0,0,26000.0,0,390.0,0.0,0,390.0,0.0,0,390.0,0.0,0,390.0,0.0,0,390.0,0.0,0,
1,22,1,0.0,0,28000.0,0,420.0,0.0,0,420.0,0.0,0,420.0,0.0,0,420.0,0.0,0,420.0,0.0,0,
1,23,1,0.0,0,30000.0,0,450.0,0.0,0,450.0,0.0,0,450.0,0.0,0,450.0,0.0,0,450.0,0.0,0,
2,0,1,0.0,0,32000.0,0,480.0,0.0,0,480.0,0.0,0,480.0,0.0,0,480.0,0.0,0,480.0,0.0,0,
2,1,1,0.0,0,34000.0,0,510.0,0.0,0,510.0,0.0,0,510.0,0.0,0,510.0,0.0,0,510.0,0.0,0,
2,2,1,0.0,0,36000.0,0,540.0,0.0,0,540.0,0.0,0,540.0,0.0,0,540.0,0.0,0,540.0,0.0,0,
2,3,1,0.0,0,38000.0,0,570.0,0.0,0,570.0,0.0,0,570.0,0.0,0,570.0,0.0,0,570.0,0.0,0,
2,4,1,0.0,0,40000.0,0,600.0,0.0,0,600.0,0.0,0,600.0,0.0,0,600.0,0.0,0,600.0,0.0,0,
2,5,1,0.0,0,42000.0,0,630.0,0.0,0,630.0,0.0,0,630.0,0.0,0,630.0,0.0,0,630.0,0.0,0,
2,6,1,0.0,0,44000.0,0,660.0,0.0,0,660.0,0.0,0,660.0,0.0,0,660.0,0.0,0,660.0,0.0,0,
2,7,1,0.0,0,46000.0,0,690.0,0.0,0,690.0,0.0,0,690.0,0.0,0,690.0,0.0,0,690.0,0.0,0,
2,8,1,0.0,0,48000.0,0,720.0,0.0,0,720.0,0.0,0,720.0,0.0,0,720.0,0.0,0,720.0,0.0,0,
2,9,1,0.0,0,50000.0,0,750.0,0.0,0,750.0,0.0,0,750.0,0.0,0,750.0,0.0,0,750.0,0.0,0,
2,10,1,0.0,0,52000.0,0,780.0,0.0,0,780.0,0.0,0,780.0,0.0,0,780.0,0.0,0,780.0,0.0,0,
2,11,1,0.0,0,54000.0,0,810.0,0.0,0,810.0,0.0,0,810.0,0.0,0,810.0,0.0,0,810.0,0.0,0,
2,12,1,0.0,0,56000.0,0,840.0,0.0,0,840.0,0.0,0,840.0,0.0,0,840.0,0.0,0,840.0,0.0,0,
2,13,1,0.0,0,58000.0,0,870.0,0.0,0,870.0,0.0,0,870.0,0.0,0,870.0,0.0,0,870.0,0.0,0,
2,14,1,0.0,0,60000.0,0,900.0,0.0,0,900.0,0.0,0,900.0,0.0,0,900.0,0.0,0,900.0,0.0,0,
2,15,1,0.0,0,62000.0,0,930.0,0.0,0,930.0,0.0,0,930.0,0.0,0,930.0,0.0,0,930.0,0.0,0,
2,16,1,0.0,0,64000.0,0,960.0,0.0,0,960.0,0.0,0,960.0,0.0,0,960.0,0.0,0,960.0,0.0,0,
2,17,1,0.0,0,66000.0,0,990.0,0.0,0,990.0,0.0,0,990.0,0.0,0,990.0,0.0,0,990.0,0.0,0,
2,18,1,0.0,0,68000.0,0,1020.0,0.0,0,1020.0,0.0,0,1020.0,0.0,0,1020.0,0.0,0,1020.0,0.0,0,
2,19,1,0.0,0,70000.0,0,1050.0,0.0,0,1050.0,0.0,0,1050.0,0.0,0,1050.0,0.0,0,1050.0,0.0,0,
2,20,1,0.0,0,72000.0,0,1080.0,0.0,0,1080.0,0.0,0,1080.0,0.0,0,1080.0,0.0,0,1080.0,0.0,0,
2,21,1,0.0,0,74000.0,0,1110.0,0.0,0,1110.0,0.0,0,1110.0,0.0,0,1110.0,0.0,0,1110.0,0.0,0,
2,22,1,0.0,0,76000.0,0,1140.0,0.0,0,1140.0,0.0,0,1140.0,0.0,0,1140.0,0.0,0,1140.0,0.0,0,
2,23,1,0.0,0,78000.0,0,1170.0,0.0,0,1170.0,0.0,0,1170.0,0.0,0,1170.0,0.0,0,1170.0,0.0,0,
