W0,1000000.0,W,10000.0,N,10,FLNG position,5000.0,FSRU position,0
 , ,wave,FSRU,,FLNG,,ship0,,,,,ship1,,,,,ship2,,,,,ship3,,,,,ship4,,,,,ship5,,,,,ship6,,,,,ship7,,,,,ship8,,,,,ship9,,,,
day,time,enableLoad,amount,loading,amount,loading,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime
1,8,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,
1,9,1,0.0,0,1000.0,0,40.0,0.0,0,40.0,125,26.041666666666668,0.0,0,26.041666666666668,192,20.32520325203252,0.0,0,20.32520325203252,246,16.025641025641026,0.0,0,16.025641025641026,312,13.66120218579235,0.0,0,13.66120218579235,366,11.574074074074074,0.0,0,11.574074074074074,432,10.2880658436214,0.0,0,10.2880658436214,486,9.057971014492754,0.0,0,9.057971014492754,552,8.250825082508252,0.0,0,8.250825082508252,606,7.440476190476191,0.0,0,7.440476190476191,672,
1,10,1,0.0,0,2000.0,0,80.0,0.0,0,40.0,124,52.08333333333333,0.0,0,26.041666666666664,191,40.650406504065046,0.0,0,20.325203252032523,245,32.05128205128205,0.0,0,16.025641025641026,311,27.322404371584696,0.0,0,13.661202185792348,365,23.14814814814815,0.0,0,11.574074074074074,431,20.5761316872428,0.0,0,10.288065843621398,485,18.115942028985508,0.0,0,9.057971014492754,551,16.5016501650165,0.0,0,8.25082508250825,605,14.880952380952381,0.0,0,7.440476190476191,671,
1,11,1,0.0,0,3000.0,0,120.0,0.0,0,40.0,123,78.125,0.0,0,26.041666666666668,190,60.97560975609757,0.0,0,20.32520325203252,244,48.07692307692308,0.0,0,16.025641025641026,310,40.983606557377044,0.0,0,13.66120218579235,364,34.72222222222222,0.0,0,11.574074074074074,430,30.864197530864196,0.0,0,10.288065843621398,484,27.173913043478258,0.0,0,9.057971014492752,550,24.75247524752475,0.0,0,8.250825082508252,604,22.321428571428573,0.0,0,7.440476190476191,670,
1,12,1,0.0,0,4000.0,0,160.0,0.0,0,40.0,122,104.16666666666667,0.0,0,26.041666666666668,189,81.30081300813009,0.0,0,20.32520325203252,243,64.1025641025641,0.0,0,16.025641025641026,309,54.64480874316939,0.0,0,13.66120218579235,363,46.29629629629629,0.0,0,11.574074074074073,429,41.1522633744856,0.0,0,10.2880658436214,483,36.231884057971016,0.0,0,9.057971014492754,549,33.003300330033,0.0,0,8.250825082508252,603,29.761904761904763,0.0,0,7.440476190476191,669,
1,13,1,0.0,0,5000.0,0,200.0,0.0,0,40.0,121,130.20833333333334,0.0,0,26.041666666666664,188,101.62601626016261,0.0,0,20.325203252032523,242,80.12820512820512,0.0,0,16.025641025641026,308,68.30601092896174,0.0,0,13.661202185792352,362,57.87037037037037,0.0,0,11.574074074074074,428,51.440329218106996,0.0,0,10.2880658436214,482,45.289855072463766,0.0,0,9.057971014492754,548,41.25412541254125,0.0,0,8.25082508250825,602,37.202380952380956,0.0,0,7.440476190476191,668,
1,14,1,0.0,0,6000.0,0,240.0,0.0,0,40.0,120,156.25,0.0,0,26.041666666666668,187,121.95121951219514,0.0,0,20.32520325203252,241,96.15384615384615,0.0,0,16.025641025641026,307,81.96721311475409,0.0,0,13.66120218579235,361,69.44444444444444,0.0,0,11.574074074074074,427,61.72839506172839,0.0,0,10.2880658436214,481,54.347826086956516,0.0,0,9.057971014492754,547,49.5049504950495,0.0,0,8.250825082508252,601,44.642857142857146,0.0,0,7.440476190476191,667,
1,15,1,0.0,0,7000.0,0,280.0,0.0,0,40.0,119,182.29166666666666,0.0,0,26.041666666666668,186,142.27642276422765,0.0,0,20.32520325203252,240,112.17948717948717,0.0,0,16.025641025641026,306,95.62841530054644,0.0,0,13.661202185792348,360,81.01851851851852,0.0,0,11.574074074074074,426,72.01646090534979,0.0,0,10.2880658436214,480,63.40579710144927,0.0,0,9.057971014492752,546,57.75577557755775,0.0,0,8.250825082508252,600,52.083333333333336,0.0,0,7.440476190476191,666,
1,16,1,0.0,0,8000.0,0,320.0,0.0,0,40.0,118,208.33333333333331,0.0,0,26.041666666666664,185,162.60162601626018,0.0,0,20.325203252032523,239,128.2051282051282,0.0,0,16.025641025641026,305,109.28961748633878,0.0,0,13.66120218579235,359,92.5925925925926,0.0,0,11.574074074074074,425,82.30452674897118,0.0,0,10.288065843621398,479,72.46376811594202,0.0,0,9.057971014492754,545,66.006600660066,0.0,0,8.25082508250825,599,59.523809523809526,0.0,0,7.440476190476191,665,
1,17,1,0.0,0,9000.0,0,360.0,0.0,0,40.0,117,234.37499999999997,0.0,0,26.041666666666668,184,182.9268292682927,0.0,0,20.32520325203252,238,144.23076923076923,0.0,0,16.025641025641026,304,122.95081967213113,0.0,0,13.66120218579235,358,104.16666666666667,0.0,0,11.574074074074074,424,92.59259259259258,0.0,0,10.288065843621398,478,81.52173913043477,0.0,0,9.057971014492754,544,74.25742574257424,0.0,0,8.25082508250825,598,66.96428571428572,0.0,0,7.440476190476191,664,
1,18,1,0.0,0,10000.0,0,400.0,0.0,0,40.0,116,260.41666666666663,0.0,0,26.041666666666668,183,203.2520325203252,0.0,0,20.32520325203252,237,160.25641025641025,0.0,0,16.025641025641026,303,136.61202185792348,0.0,0,13.66120218579235,357,115.74074074074075,0.0,0,11.574074074074073,423,102.88065843621398,0.0,0,10.2880658436214,477,90.57971014492752,0.0,0,9.057971014492754,543,82.5082508250825,0.0,0,8.250825082508252,597,74.40476190476191,0.0,0,7.440476190476191,663,
1,19,1,0.0,0,11000.0,0,440.0,0.0,0,40.0,115,286.4583333333333,0.0,0,26.041666666666664,182,223.5772357723577,0.0,0,20.325203252032523,236,176.28205128205127,0.0,0,16.025641025641026,302,150.27322404371583,0.0,0,13.66120218579235,356,127.31481481481482,0.0,0,11.574074074074074,422,113.16872427983537,0.0,0,10.2880658436214,476,99.63768115942027,0.0,0,9.057971014492752,542,90.75907590759076,0.0,0,8.250825082508252,596,81.8452380952381,0.0,0,7.440476190476191,662,
1,20,1,0.0,0,12000.0,0,480.0,0.0,0,40.0,114,312.5,0.0,0,26.041666666666668,181,243.90243902439022,0.0,0,20.32520325203252,235,192.3076923076923,0.0,0,16.025641025641026,301,163.93442622950818,0.0,0,13.661202185792348,355,138.88888888888889,0.0,0,11.574074074074074,421,123.45679012345677,0.0,0,10.2880658436214,475,108.69565217391302,0.0,0,9.057971014492754,541,99.009900990099,0.0,0,8.25082508250825,595,89.28571428571429,0.0,0,7.44047619047619,661,
1,21,1,0.0,0,13000.0,0,520.0,0.0,0,40.0,113,338.5416666666667,0.0,0,26.041666666666668,180,264.2276422764227,0.0,0,20.32520325203252,234,208.33333333333331,0.0,0,16.025641025641026,300,177.59562841530052,0.0,0,13.66120218579235,354,150.46296296296296,0.0,0,11.574074074074074,420,133.74485596707817,0.0,0,10.2880658436214,474,117.75362318840577,0.0,0,9.057971014492754,540,107.26072607260726,0.0,0,8.250825082508252,594,96.72619047619048,0.0,0,7.44047619047619,660,
1,22,1,0.0,0,14000.0,0,560.0,0.0,0,40.0,112,364.58333333333337,0.0,0,26.041666666666664,179,284.55284552845524,0.0,0,20.325203252032523,233,224.35897435897434,0.0,0,16.025641025641026,299,191.25683060109287,0.0,0,13.66120218579235,353,162.03703703703704,0.0,0,11.574074074074074,419,144.03292181069958,0.0,0,10.288065843621398,473,126.81159420289852,0.0,0,9.057971014492754,539,115.51155115511551,0.0,0,8.250825082508252,593,104.16666666666667,0.0,0,7.44047619047619,659,
1,23,1,0.0,0,15000.0,0,600.0,0.0,0,40.0,111,390.62500000000006,0.0,0,26.041666666666668,178,304.87804878048775,0.0,0,20.325203252032523,232,240.38461538461536,0.0,0,16.025641025641026,298,204.91803278688522,0.0,0,13.66120218579235,352,173.61111111111111,0.0,0,11.574074074074073,418,154.320987654321,0.0,0,10.288065843621398,472,135.86956521739128,0.0,0,9.057971014492752,538,123.76237623762376,0.0,0,8.25082508250825,592,111.60714285714286,0.0,0,7.44047619047619,658,
2,0,1,0.0,0,16000.0,0,640.0,0.0,0,40.0,110,416.66666666666674,0.0,0,26.041666666666668,177,325.20325203252025,0.0,0,20.32520325203252,231,256.4102564102564,0.0,0,16.025641025641026,297,218.57923497267757,0.0,0,13.66120218579235,351,185.1851851851852,0.0,0,11.574074074074074,417,164.6090534979424,0.0,0,10.2880658436214,471,144.92753623188403,0.0,0,9.057971014492754,537,132.013201320132,0.0,0,8.250825082508252,591,119.04761904761905,0.0,0,7.44047619047619,657,
2,1,1,0.0,0,17000.0,0,680.0,0.0,0,40.0,109,442.7083333333334,0.0,0,26.041666666666664,176,345.52845528455276,0.0,0,20.32520325203252,230,272.43589743589746,0.0,0,16.025641025641026,296,232.24043715846992,0.0,0,13.661202185792348,350,196.75925925925927,0.0,0,11.574074074074074,416,174.8971193415638,0.0,0,10.2880658436214,470,153.98550724637678,0.0,0,9.057971014492754,536,140.26402640264024,0.0,0,8.250825082508252,590,126.48809523809524,0.0,0,7.44047619047619,656,
2,2,1,0.0,0,18000.0,0,720.0,0.0,0,40.0,108,468.7500000000001,0.0,0,26.041666666666668,175,365.85365853658527,0.0,0,20.325203252032523,229,288.4615384615385,0.0,0,16.025641025641026,295,245.90163934426226,0.0,0,13.66120218579235,349,208.33333333333334,0.0,0,11.574074074074074,415,185.18518518518522,0.0,0,10.2880658436214,469,163.04347826086953,0.0,0,9.057971014492754,535,148.51485148514848,0.0,0,8.25082508250825,589,133.92857142857144,0.0,0,7.44047619047619,655,
2,3,1,0.0,0,19000.0,0,760.0,0.0,0,40.0,107,494.7916666666668,0.0,0,26.041666666666668,174,386.1788617886178,0.0,0,20.32520325203252,228,304.48717948717956,0.0,0,16.025641025641026,294,259.56284153005464,0.0,0,13.66120218579235,348,219.90740740740742,0.0,0,11.574074074074074,414,195.47325102880663,0.0,0,10.2880658436214,468,172.10144927536228,0.0,0,9.057971014492752,534,156.76567656765673,0.0,0,8.250825082508252,588,141.36904761904765,0.0,0,7.440476190476191,654,
2,4,1,0.0,0,20000.0,0,800.0,0.0,0,40.0,106,520.8333333333335,0.0,0,26.041666666666664,173,406.5040650406503,0.0,0,20.32520325203252,227,320.5128205128206,0.0,0,16.025641025641026,293,273.224043715847,0.0,0,13.66120218579235,347,231.4814814814815,0.0,0,11.574074074074073,413,205.76131687242804,0.0,0,10.288065843621398,467,181.15942028985503,0.0,0,9.057971014492754,533,165.01650165016497,0.0,0,8.250825082508252,587,148.80952380952385,0.0,0,7.440476190476191,653,
2,5,1,0.0,0,21000.0,0,840.0,0.0,0,40.0,105,546.8750000000001,0.0,0,26.041666666666664,172,426.8292682926828,0.0,0,20.325203252032523,226,336.53846153846166,0.0,0,16.025641025641026,292,286.8852459016394,0.0,0,13.66120218579235,346,243.05555555555557,0.0,0,11.574074074074073,412,216.04938271604945,0.0,0,10.288065843621398,466,190.21739130434779,0.0,0,9.057971014492754,532,173.2673267326732,0.0,0,8.25082508250825,586,156.25000000000006,0.0,0,7.440476190476191,652,
2,6,1,0.0,0,22000.0,0,880.0,0.0,0,40.0,104,572.9166666666667,0.0,0,26.041666666666668,171,447.1544715447153,0.0,0,20.32520325203252,225,352.5641025641027,0.0,0,16.025641025641026,291,300.5464480874317,0.0,0,13.661202185792348,345,254.62962962962965,0.0,0,11.574074074074074,411,226.33744855967086,0.0,0,10.288065843621398,465,199.27536231884054,0.0,0,9.057971014492754,531,181.51815181518145,0.0,0,8.25082508250825,585,163.69047619047626,0.0,0,7.440476190476191,651,
2,7,1,0.0,0,23000.0,0,920.0,0.0,0,40.0,103,598.9583333333334,0.0,0,26.041666666666664,170,467.4796747967478,0.0,0,20.32520325203252,224,368.58974358974376,0.0,0,16.025641025641026,290,314.2076502732241,0.0,0,13.66120218579235,344,266.2037037037037,0.0,0,11.574074074074074,410,236.62551440329227,0.0,0,10.2880658436214,464,208.3333333333333,0.0,0,9.057971014492752,530,189.7689768976897,0.0,0,8.250825082508252,584,171.13095238095246,0.0,0,7.440476190476191,650,
2,8,1,0.0,0,24000.0,0,960.0,0.0,0,40.0,102,625.0,0.0,0,26.041666666666668,169,487.8048780487803,0.0,0,20.325203252032523,223,384.6153846153848,0.0,0,16.025641025641026,289,327.86885245901647,0.0,0,13.66120218579235,343,277.77777777777777,0.0,0,11.574074074074074,409,246.91358024691368,0.0,0,10.2880658436214,463,217.39130434782604,0.0,0,9.057971014492754,529,198.01980198019794,0.0,0,8.250825082508252,583,178.57142857142867,0.0,0,7.440476190476191,649,
2,9,1,0.0,0,25000.0,0,1000.0,0.0,0,40.0,101,651.0416666666666,0.0,0,26.041666666666668,168,508.13008130081283,0.0,0,20.32520325203252,222,400.64102564102586,0.0,0,16.025641025641026,288,341.53005464480884,0.0,0,13.66120218579235,342,289.35185185185185,0.0,0,11.574074074074074,408,257.20164609053506,0.0,0,10.2880658436214,462,226.4492753623188,0.0,0,9.057971014492754,528,206.27062706270618,0.0,0,8.25082508250825,582,186.01190476190487,0.0,0,7.440476190476191,648,
2,10,1,0.0,0,26000.0,0,1040.0,0.0,0,40.0,100,677.0833333333333,0.0,0,26.041666666666664,167,528.4552845528453,0.0,0,20.32520325203252,221,416.6666666666669,0.0,0,16.025641025641026,287,355.1912568306012,0.0,0,13.66120218579235,341,300.9259259259259,0.0,0,11.574074074074073,407,267.48971193415645,0.0,0,10.288065843621398,461,235.50724637681154,0.0,0,9.057971014492754,527,214.52145214521443,0.0,0,8.250825082508252,581,193.45238095238108,0.0,0,7.440476190476191,647,
2,11,1,0.0,0,27000.0,0,1080.0,0.0,0,40.0,99,703.1249999999999,0.0,0,26.041666666666668,166,548.7804878048779,0.0,0,20.325203252032523,220,432.69230769230796,0.0,0,16.025641025641026,286,368.8524590163936,0.0,0,13.661202185792348,340,312.5,0.0,0,11.574074074074074,406,277.7777777777778,0.0,0,10.288065843621398,460,244.5652173913043,0.0,0,9.057971014492752,526,222.77227722772267,0.0,0,8.250825082508252,580,200.89285714285728,0.0,0,7.440476190476191,646,
2,12,1,0.0,0,28000.0,0,1120.0,0.0,0,40.0,98,729.1666666666665,0.0,0,26.041666666666668,165,569.1056910569105,0.0,0,20.32520325203252,219,448.717948717949,0.0,0,16.025641025641026,285,382.513661202186,0.0,0,13.66120218579235,339,324.0740740740741,0.0,0,11.574074074074074,405,288.0658436213992,0.0,0,10.2880658436214,459,253.62318840579704,0.0,0,9.057971014492754,525,231.0231023102309,0.0,0,8.25082508250825,579,208.33333333333348,0.0,0,7.440476190476191,645,
2,13,1,0.0,0,29000.0,0,1160.0,0.0,0,40.0,97,755.2083333333331,0.0,0,26.04166666666667,164,589.430894308943,0.0,0,20.32520325203252,218,464.74358974359006,0.0,0,16.025641025641026,284,396.17486338797835,0.0,0,13.661202185792348,338,335.64814814814815,0.0,0,11.574074074074074,404,298.3539094650206,0.0,0,10.2880658436214,458,262.6811594202898,0.0,0,9.057971014492754,524,239.27392739273915,0.0,0,8.250825082508252,578,215.7738095238097,0.0,0,7.44047619047619,644,
